Does your family have a student eligible for bus service in 2022-2023?,Do you plan on using bus service in 2022-2023?,"As of April 2022, which of these best describes your student/s bus service ? (Select all that apply)","If bus service was not available in 2022-2023, would your student/s need assistance finding alternate transportation options?","Taking the current level of bus service into consideration, which of these two options do you prefer for your student/s and family in 2022-2023?","If the 3-tier plan is adopted, would you have students in your household who are split between the 7:30 and 9:30 tier?",Do you anticipate any challenges finding child care or managing your work schedule if the 3-tier plan is adopted?,How far away from school do the student/s in your family live? Select all that apply.,schools
Yes,No,"Bus route is running, but prefer other transportation options.",No,Change to the 3-tier bell times with an improved level of bus service in 2022-2023,No,No,Less than 1 mile,Lafayette
Yes,No,"Not assigned a bus route in 2022 (eg, newly enrolled family).",No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,1 to 3 miles,Fairmount Park
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,Yes,Less than 1 mile,"Ballard,Greenwood"
Yes,Yes,Bus route is NOT running. Forced to use other transportation options.,Yes,Change to the 3-tier bell times with an improved level of bus service in 2022-2023,No,Yes,1 to 3 miles,Pathfinder
Yes,No,Bus route is NOT running. Would not use it even if it were.,No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Fairmount Park
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Thorton Creek
Yes,No,Bus route is NOT running. Would not use it even if it were.,No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,Yes,3 to 5 miles,McDonald
Yes,Yes,"Not assigned a bus route in 2022 (eg, newly enrolled family).",Yes,Change to the 3-tier bell times with an improved level of bus service in 2022-2023,No,No,1 to 3 miles,McDonald
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Pathfinder
Yes,Yes,Bus route consistently late,Yes,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,Yes,Greater than 5 miles,"Louisa Boren K8,Thurgood Marshall"
Yes,Yes,Bus route is NOT running. Forced to use other transportation options.,Yes,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,Yes,3 to 5 miles,"Arbor Heights,Pathfinder"
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Arbor Heights
Yes,No,Bus route consistently on-time,No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,No,1 to 3 miles,Thurgood Marshall
Yes,No,"Bus route is running, but prefer other transportation options.",No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Whittier
Yes,Yes,Bus route consistently on-time,No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,Rainier View
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,Yes,1 to 3 miles,Coe
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,3 to 5 miles,McDonald
No,,,,Change to the 3-tier bell times with an improved level of bus service in 2022-2023,Yes,Yes,Less than 1 mile,Rainier View
Yes,Yes,"Bus route is running, but prefer other transportation options.",No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,Yes,"Less than 1 mile, 3 to 5 miles",Pathfinder
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Hazel Wolf
Yes,Yes,Bus route consistently on-time,Yes,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,"Less than 1 mile, 1 to 3 miles",Cascadia
Yes,Yes,Bus route is NOT running. Forced to use other transportation options.,No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,No,1 to 3 miles,Greek Lake
Yes,No,"Not assigned a bus route in 2022 (eg, newly enrolled family).",No,Change to the 3-tier bell times with an improved level of bus service in 2022-2023,No,No,3 to 5 miles,John Stanford
Yes,No,"Bus route is running, but prefer other transportation options.",No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,Yes,3 to 5 miles,"Pathfinder,West Seattle Elementary"
Yes,Yes,Bus route consistently on-time,Yes,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,3 to 5 miles,Fairmount Park
Yes,Yes,Bus route is NOT running. Forced to use other transportation options.,Yes,Change to the 3-tier bell times with an improved level of bus service in 2022-2023,No,No,3 to 5 miles,Fairmount Park
Yes,Yes,Bus route consistently on-time,Yes,Change to the 3-tier bell times with an improved level of bus service in 2022-2023,Yes,No,"Less than 1 mile, 3 to 5 miles","Aki Kurose,Rainier View"
No,,,,Change to the 3-tier bell times with an improved level of bus service in 2022-2023,No,No,Less than 1 mile,Adams
Yes,No,"Bus route is running, but prefer other transportation options.",No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,"1 to 3 miles, Greater than 5 miles","Cascadia,Queen Anne Elementary"
Yes,Yes,Bus route consistently on-time,Yes,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,1 to 3 miles,Hamilton
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Laurelhurst
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,"Less than 1 mile, 1 to 3 miles","Eckstein,Thorton Creek"
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,No,"Less than 1 mile, 3 to 5 miles",Robert Eagle Staff
Yes,No,"Not assigned a bus route in 2022 (eg, newly enrolled family).",No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Adams
Yes,Yes,"Bus route consistently on-time, Not assigned a bus route in 2022 (eg, newly enrolled family).",Yes,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,Yes,Greater than 5 miles,Dearborn Park
Yes,Yes,"Bus route is running, but prefer other transportation options.",No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,Yes,Less than 1 mile,"B.F. Day,Hamilton"
Yes,Yes,Bus route consistently on-time,No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,3 to 5 miles,Hamilton
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,Less than 1 mile,Coe
Yes,Yes,Bus route consistently on-time,No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,3 to 5 miles,Rainier View
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,Coe
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Bryant
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,Less than 1 mile,Hazel Wolf
Yes,No,"Not assigned a bus route in 2022 (eg, newly enrolled family).",No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,Fairmount Park
Yes,Yes,Bus route is NOT running. Forced to use other transportation options.,No,Change to the 3-tier bell times with an improved level of bus service in 2022-2023,No,Yes,Less than 1 mile,"McClure,New Queen Anne Route,UGH"
Yes,Yes,"Bus route consistently late, Bus route is NOT running. Forced to use other transportation options.",Yes,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,Yes,"3 to 5 miles, Greater than 5 miles",Thorton Creek
Yes,Yes,Bus route consistently on-time,No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,No,"1 to 3 miles, 3 to 5 miles",Aki Kurose
Yes,Yes,Bus route consistently on-time,Yes,Change to the 3-tier bell times with an improved level of bus service in 2022-2023,No,No,3 to 5 miles,Franklin
Yes,No,"Not assigned a bus route in 2022 (eg, newly enrolled family).",No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,Coe
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,Thorton Creek
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,Thorton Creek
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Adams
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Adams
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Queen Anne Elementary
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Bryant
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Montlake
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Broadview-Thomson
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Arbor Heights
Yes,Yes,Bus route consistently on-time,Yes,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,Yes,"Less than 1 mile, 3 to 5 miles","Lawton,McClure"
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Rainier View
Yes,Yes,"Bus route consistently on-time, Bus route consistently late, Bus route is running, but prefer other transportation options.",Yes,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,3 to 5 miles,"Cascadia,Hamilton"
Yes,Yes,Bus route consistently on-time,Yes,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,McDonald
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Coe
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,1 to 3 miles,Alki
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,Hazel Wolf
No,,,,Change to the 3-tier bell times with an improved level of bus service in 2022-2023,No,No,1 to 3 miles,Lincoln
Yes,Yes,Bus route consistently on-time,Yes,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,3 to 5 miles,Madison
Yes,Yes,Bus route is NOT running. Forced to use other transportation options.,No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,Yes,1 to 3 miles,"Cascadia,Private School"
No,,,,Change to the 3-tier bell times with an improved level of bus service in 2022-2023,No,Yes,Less than 1 mile,Adams
Yes,No,"Bus route is running, but prefer other transportation options.",No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,Salmon Bay
Yes,No,"Bus route is running, but prefer other transportation options.",No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,Greek Lake
Yes,No,"Not assigned a bus route in 2022 (eg, newly enrolled family).",No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Salmon Bay
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Greek Lake
Yes,No,"Not assigned a bus route in 2022 (eg, newly enrolled family).",No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,Less than 1 mile,West Woodland
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,B.F. Day
No,,,,Change to the 3-tier bell times with an improved level of bus service in 2022-2023,No,Yes,3 to 5 miles,West Seattle High School
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,Yes,1 to 3 miles,"Thurgood Marshall,Washington"
Yes,No,Bus route is NOT running. Forced to use other transportation options.,No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,1 to 3 miles,Lincoln
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Salmon Bay
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,"Less than 1 mile, 1 to 3 miles",Olympic View
Yes,No,"Bus route consistently late, Bus route is running, but prefer other transportation options.",No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,Pathfinder
Yes,No,Bus route is NOT running. Forced to use other transportation options.,No,Change to the 3-tier bell times with an improved level of bus service in 2022-2023,No,No,3 to 5 miles,Salmon Bay
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,Yes,1 to 3 miles,Thorton Creek
Yes,No,"Not assigned a bus route in 2022 (eg, newly enrolled family).",No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,Thorton Creek
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,1 to 3 miles,B.F. Day
